Code,Name,Sector,Open,High,Low,Close,SMA20,SMA50,SMA200,Shariah,Price,ADR%,Perf 5D%,Perf 1M%,Perf 3M%,EPS,P/E,Volume,Mkt Cap
7231,WELLCAL,Consumer Cyclical,1.17,1.18,1.16,1.17,1.192,1.2184,1.2597,,1.17,1.35,-1.68,-4.88,-5.19,0.08,14.625,160400,582598592.0
6939,FIAMMA,Consumer Cyclical,1.09,1.09,1.09,1.09,1.099,1.098,1.1162,,1.09,0.68,0.93,-2.68,5.83,0.07,15.571429,127000,578034496.0
5186,MHB,Energy,0.37,0.37,0.36,0.36,0.388,0.3861,0.3745,,0.36,3.4,-4.0,-12.2,-10.0,0.07,5.1428576,405100,576000000.0
0112,MIKROMB,Industrials,0.465,0.47,0.46,0.47,0.4352,0.4028,0.3028,,0.47,3.6,2.17,18.99,5.62,0.03,15.666667,3180100,567911552.0
5317,CPETECH,Technology,0.865,0.865,0.825,0.84,0.8155,0.6454,0.6318,,0.84,5.55,0.6,7.69,95.35,0.02,42.0,1850400,563904448.0
5184,CYPARK,Utilities,0.685,0.69,0.68,0.685,0.6865,0.7076,0.73,,0.685,2.89,1.48,-2.84,9.6,-0.1,-19.571428,2056600,563636928.0
0311,GOHUB,Technology,1.3,1.31,1.19,1.28,1.2177,1.0384,0.8216,,1.28,6.01,-3.03,31.28,59.01,0.02,64.0,1628100,563200000.0
0002,KOTRA,Healthcare,3.75,3.8,3.75,3.79,3.9395,3.9753,4.0443,,3.79,0.57,-0.26,-5.72,-5.52,0.26,14.576923,8700,562110336.0
2305,AYER,Real Estate,7.4,7.45,7.4,7.45,7.3085,7.2024,7.0966,,7.45,0.5,1.92,2.05,5.67,0.76,9.802631,17200,557655360.0
7155,SKPRES,Basic Materials,0.335,0.355,0.335,0.355,0.3745,0.3933,0.6291,,0.355,5.8,-2.74,-11.25,-19.32,0.06,5.9166665,7251200,554637888.0
7609,AJIYA,Industrials,0.995,1.01,0.985,1.01,0.994,1.0053,1.069,,1.01,0.76,1.51,2.02,-0.98,0.08,12.625,76600,553762304.0
